"",,,,Pág: 1
"",,,LOURENCO E SILVA LTDA,
"",,,CNPJ : 07626439000173 IE : 152496416,
"",,,9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"",,,"paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",,,CENTRO,
"",,,01/10/2025 07:40:32,
"",,,Lista de preços,
Tabela Preço : PADRÃO,,,Tipo de Saldo : Geral,
Descrição,,Ncm,No. Fabricante Fabricante Emp UN Estoque,Vlr. Venda
56004 - 11159-C33 - TORNEIRA COZINHA,,84818011,"9937586 MARCHEZAN 1 UN 3,00","80,89"
PAREDE VEDACAO PRESS,,,,
56045 - 1168 F61 PR TORN COZ PAR FITT,,84818019,"LORENZETTI 1 UN -3,00","64,19"
CX/0004,,,,
56044 - 1195 F61 PR TORN LAVAT BA FITT,,84818019,"LORENZETTI 1 UN 1,00","64,19"
CX/0004,,,,
56006 - 1416 1/2-C33 - REGISTRO PRESSAO,,84818095,"MARCHEZAN 1 UN 3,00","51,68"
VEDANTE DN15,,,,
56007 - 1509 3/4-C33 (SACO PLASTICO) -,,84818093,"MARCHEZAN 1 UN -7,00","85,11"
REGISTRO GAVETA LUXO DN20,,,,
56005 - 16046 - MECANISMO-VED.P/ TORN. PIST.,,84818011,"150015 MARCHEZAN 1 UN 0,00","29,26"
AMARELO,,,,
56001 - 16048 - MECANISMO-VED.P/ REG. 1416,,84818011,"150002 MARCHEZAN 1 UN 7,00","28,22"
PIST. AMARELO,,,,
56000 - 16049 - MECANISMO-MVS.P/ REG. 1414,,84818011,"150004 MARCHEZAN 1 UN 11,00","30,39"
PIST. AMARELO,,,,
56306 - 16149 - MECANISMO-MVS.P/ REG.1414,,84818011,"MARCHEZAN 1 UN 16,00","32,60"
PIST. CROMADO,,,,
56150 - 1654 CRUZETA C33 CROM.,,84818019,"11985 AGUIA 1 UN 5,00","18,37"
56003 - 33318 - DUCHA FRIA ARTICULADO 70MM,,84818019,"9941114 MARCHEZAN 1 UN 3,00","88,46"
ATENAS,,,,
55997 - 4790-C80 - TORNEIRA LAVATORIO,,84818011,"9934838 MARCHEZAN 1 UN 5,00","95,47"
BANCADA 90° BICA MO,,,,
55998 - 4795-C80 - TORNEIRA COZINHA,,84818011,"MARCHEZAN 1 UN 1,00","88,50"
BANCADA 90° BICA MOVEL VEDACAO NAO,,,,
COMPRESSIVEL 1/4 VOLTA,,,,
56002 - 6000 - KIT ACESSORIOS P/ BANHEIRO,,76152000,"38412 MARCHEZAN 1 UN 0,00","192,99"
ENCANTO,,,,
55999 - 9499 -C80 - TORN. COZINHA BANCADA,,84818011,"9937490 MARCHEZAN 1 UN 4,00","112,91"
GOURMET DUPLA F,,,,
27049 - ABAFADOR AUDIT PLUG SILIC - KALIPSO,,82055900,"920646 NOVA DISTR 1 UN 81,81","1,83"
53238 - ABAFADOR AUDITIVA - DELTAPLUS,,40159000,"190401 NOVA DISTR 1 UN -6,00","13,93"
55745 - ABRACAD INOX 13-19MM C/BORBOLETA,,73269090,"022273 TAMBASA AT 1 UN 26,00","3,04"
50661 - ABRACAD. ACO LAMP FLU 20/40/110 T8,,73269090,"180130 TAMBASA AT 1 UN 79,00","2,31"
"56588 - ABRACADEIRA (3/4"") (VERDE) 4G/5G",,84139190,"50200 ANAUGER 1 UN 9,00","12,10"
37508 - ABRACADEIRA ARGOLA 83-10 INCA,,73269090,"CENTER MAT 1 UN 9,00","5,93"
55706 - ABRACADEIRA BORBOLETA 19X27,,73269090,"0515.019.027 LOTUS 1 UN -52,00","4,58"
39993 - ABRACADEIRA CABIDEIRA GRANDE,,73269090,"CENTER MAT 1 UN 2,00","0,64"
40002 - ABRACADEIRA CABIDEIRA PEQUENA,,73269090,"CENTER MAT 1 UN 53,00","0,51"
40231 - ABRACADEIRA COLORIDA 10CM,,39269090,"57440/928 TRAMONTINA 1 UN 0,00","0,08"
40240 - ABRACADEIRA COLORIDA 15CM,,39269090,"57440/915 TRAMONTINA 1 UN -16,00","0,28"
"53462 - ABRACADEIRA COLORIDA 9,5CM",,39269090,"57440/909 TRAMONTINA 1 UN 0,00","0,32"
54316 - ABRACADEIRA INOX BORBOLETA 13-23,,73269090,"3710 LOTUS 1 UN -101,00","2,86"
54315 - ABRACADEIRA INOX BORBOLETA 14-27,,73269090,"3711 LOTUS 1 UN 234,00","2,98"
54314 - ABRACADEIRA INOX BORBOLETA 18-32,,73269090,"3712 LOTUS 1 UN 172,00","3,04"
55181 - ABRACADEIRA MANGOTE 1.1/2¿,,73269090,"45403 NEGRAO 1 UN 10,00","20,00"
48X56MM,,,,
55182 - ABRACADEIRA MANGOTE 1.1/4¿,,73269090,"45411 NEGRAO 1 UN 10,00","18,96"
39X47MM,,,,
"56246 - ABRACADEIRA NYLON 12,5X600MM",,39269090,"4202194 FOXLUX 1 CD 0,00","2,07"
"53434 - ABRACADEIRA NYLON 2,5X100MM",,39269090,"422851 FOXLUX 1 UN 0,00","0,11"
"54919 - ABRACADEIRA NYLON 2,5X120MM",,39269090,"149160 FOXLUX 1 UN 0,00","0,36"
"53435 - ABRACADEIRA NYLON 2,5X140MM",,39269090,"37185 FOXLUX 1 UN 0,00","0,33"
"53436 - ABRACADEIRA NYLON 2,5X150MM",,39269090,"422657 FOXLUX 1 UN 0,00","0,12"
"54921 - ABRACADEIRA NYLON 2,5X80MM",,39269090,"149454 FOXLUX 1 UN 0,00","0,19"
"55453 - ABRACADEIRA NYLON 3,5X200MM",,39269090,"4201864 FOXLUX 1 UN -4,00","0,29"
Usuário CLAUDIO FILHO,,,1 / 184 Eptus ERP Enterprise v.6.04.01.001,
"",,Pág: 2
54665 - FURAD/PARAF + CARREG INDUTIVO,"84672992 06019E91E1000 BOSCH 1 UN 0,00","4.023,76"
220V,,
54666 - FURAD/PARAF BIVOLT BATERIA GSR,"84672992 06019F40E0000 BOSCH 1 UN 0,00","498,85"
1000,,
56374 - FURADEIRA  13MM 800W 220V -,"84672100 STANLEY 1 UN 4,00","560,99"
STANLEY,,
56375 - FURADEIRA 13MM 800W 127V -,"84672100 STANLEY 1 UN 4,00","560,99"
STANLEY,,
Usuário CLAUDIO FILHO,75 / 184 Eptus ERP Enterprise v.6.04.01.001,
"",,Pág: 76
"",LOURENCO E SILVA LTDA,
"",CNPJ : 07626439000173 IE : 152496416,
"",9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"","paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",CENTRO,
"",01/10/2025 07:40:32,
"",Lista de preços,
29327 - FURADEIRA BOSCH GSB 13RE 127V,"84672100 060123D5D0000 BOSCH 1 UN 1,00","582,44"
13D5D,,
27502 - FURADEIRA BOSCH GSB 13RE 220V,"84672100 060123D5E0000 BOSCH 1 UN -1,00","582,44"
13D5E,,
52690 - FURADEIRA BOSCH MALETA GSB13RE,"84672100 060123D5D1000 BOSCH 1 PC 1,00","671,17"
127V,,
52691 - FURADEIRA BOSCH MALETA GSB13RE,"84672100 060123D5E1000 BOSCH 1 UN 0,00","671,17"
220V,,
56349 - FURADEIRA GSB 550 RE 550W 127V,"84672100 06011B60D4000 BOSCH 1 UN 0,00","449,30"
56350 - FURADEIRA GSB 550 RE 550W 220V,"84672100 06011B60E4000 BOSCH 1 UN 1,00","449,30"
32263 - FURADEIRA GSB450 RE 450W 127V,"84672100 06011B50D1000 BOSCH 1 UN 5,00","354,52"
32271 - FURADEIRA GSB450 RE 450W 220V,"84672100 06011B50E1000 BOSCH 1 UN -2,00","354,52"
53878 - FURADEIRA SKIL 10MM 570W 6602 127V,"84672100 F0126602AB000 BOSCH 1 UN 0,00","256,26"
32840 - FURADEIRA SKIL 10MM 570W 6602 220V,"84672100 F0126602JA000 BOSCH 1 UN 5,00","256,26"
53473 - FURADEIRA SKIL 13MM 570W 6555 127V,"84672100 F0126555AB000 BOSCH 1 UN 1,00","420,65"
53474 - FURADEIRA SKIL 13MM 570W 6555 220V,"84672100 F0126555J1000 BOSCH 1 UN 1,00","420,65"
51684 - FURADEIRA SKIL MALET 13MM 6555,"84672100 F0126555A1000 BOSCH 1 UN 2,00","483,74"
127V,,
53877 - FURADEIRA SKIL MALET 13MM 6555,"84672100 F01266555JA000 BOSCH 1 UN 0,00","483,75"
220V,,
55750 - FURADEIRA/PARAFUSADEIRA 12V -,"84672992 43009 MONDIAL 1 UN 1,00","316,91"
MONDI,,
55209 - FUSEPROTEC ECO 18L,"32091020 V1517374 TAMBASA AT 1 UN 1,00","479,82"
"55210 - FUSEPROTEC ECO 3,6L","32091020 V1517373 TAMBASA AT 1 UN 7,00","116,40"
55037 - FUSEPROTEC PAREDE 18 L,"32091010 V0217390 TAMBASA AT 1 UN 0,00","440,01"
"55038 - FUSEPROTEC PAREDE 3,6 L","32091010 V0217389 TAMBASA AT 1 UN 1,00","96,05"
13340 - FUSIVEL C/CARTUCHO 30 AMPERES,"73182200 LORENZETTI 1 UN 5,00","2,16"
13358 - FUSIVEL C/CARTUCHO 60 AMPERES,"73182200 LORENZETTI 1 UN 23,00","2,40"
56214 - FUSIVEL ENCAIXE 15A,"85361000 0720.015.000 ORCA DISTR 1 UN 20,00","2,20"
56215 - FUSIVEL ENCAIXE 20A,"85361000 0720.020.000 ORCA DISTR 1 UN 10,00","2,20"
56216 - FUSIVEL ENCAIXE 25A,"85361000 0720.025.000 ORCA DISTR 1 UN -80,00","2,20"
56217 - FUSIVEL ENCAIXE 30A,"85361000 0720.030.000 ORCA DISTR 1 UN 20,00","2,20"
56210 - FUSIVEL ENCAIXE MINI 10A,"85361000 0725.010.000 ORCA DISTR 1 UN 20,00","1,22"
56211 - FUSIVEL ENCAIXE MINI 15A,"85361000 0725.015.000 ORCA DISTR 1 UN 20,00","2,20"
56212 - FUSIVEL ENCAIXE MINI 20A,"85361000 0725.020.000 ORCA DISTR 1 UN 20,00","2,20"
56213 - FUSIVEL ENCAIXE MINI 30A,"85361000 0725.030.000 ORCA DISTR 1 UN 20,00","2,20"
44601 - GABARITO ANGULAR MULTIFUNCAO,"90172000 61879 CORTAG 1 UN 0,00","115,85"
51219 - GABINETE ADARA 60CM BRANCO,"94036000 06085 DURIM 1 UN 3,00","518,29"
54656 - GABINETE LAVAT. PLASTICO,"94037000 GAB5*BR1 ASTRA S/A 1 UN -1,00","231,80"
45X32X58CM,,
49549 - GABINETE PLASTICO C/TANQUE,"94037000 GTQ0*BR-BRD ASTRA S/A 1 UN 1,00","403,35"
50769 - GABINETE VIDRO CHOPIN 90X56CM VM,"94038900 GP/C*VM ASTRA S/A 1 UN 1,00","2.425,99"
41815 - GAILOA ARANHA 60X60X20 FERRO 3/8,"73262000 G ALVES FE 1 UN -8,00","60,00"
38113 - GAIOLA P/ SAPATA 100X100X100 1/2,"73262000 G ALVES FE 1 UN 0,00","263,50"
44024 - GAIOLA P/ SAPATA 50X50X10 3/8,"73262000 G ALVES FE 1 UN 0,00","39,03"
38121 - GAIOLA P/ SAPATA 70X70X100 1/2,"73262000 G ALVES FE 1 UN 0,00","254,34"
33111 - GAIOLA P/ SAPATA 80X80X80 1/2,"73262000 G ALVES FE 1 UN 0,00","248,37"
53419 - GANCHEIRA AM SIMPLES P/GONDOLA,"94039090 04518 TAMBASA AT 1 UN 48,00","4,55"
33740 - GANCHO ACOUGUE 5/16¿,"73269090 30007 NEGRAO 1 UN 0,00","10,30"
56225 - GANCHO CURTO P/PERFILADO,"83024100 58068 TAMBASA AT 1 UN 0,00","20,00"
48569 - GANCHO JOTA P/TELHA 1/4X100MM,"73089010 54657 TAMBASA AT 1 UN -369,00","1,22"
53930 - GANCHO JOTA P/TELHA 1/4X120MM,"73181500 33584 NOVA DISTR 1 UN 491,00","2,08"
48542 - GANCHO JOTA P/TELHA 1/4X65MM,"73181500 TAMBASA AT 1 UN -105,00","0,56"
Usuário CLAUDIO FILHO,76 / 184 Eptus ERP Enterprise v.6.04.01.001,
"",,Pág: 77
"",LOURENCO E SILVA LTDA,
"",CNPJ : 07626439000173 IE : 152496416,
"",9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"","paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",CENTRO,
"",01/10/2025 07:40:32,
"",Lista de preços,
48550 - GANCHO JOTA P/TELHA 1/4X85MM,"73089010 39696 TAMBASA AT 1 UN 270,00","1,12"
33731 - GANCHO OLHAL AçO CARBONO P/1.0,"83024100 LUMI IMPOR 1 UN 2,00","12,10"
TONE,,
54531 - GANCHO OLHAL FORJ 1/2¿ 2925KG,"73269090 114367 NEGRAO 1 UN 1,00","118,49"
54532 - GANCHO OLHAL FORJ 7/16¿ 2250KG,"73269090 114340 NEGRAO 1 UN 0,00","86,97"
1457 - GANCHO P/REDE CHUMBAR REF.200,"83024100 124 SILVANA 1 UN 135,00","8,00"
55452 - GANCHO REDE CHUMBAR BATOM 1375,"83024100 066031 ALIANCA 1 PR 22,00","80,37"
ZI,,
52013 - GANCHO REDE MOLA,"83024100 91233 SILVANA 1 UN 2,00","58,21"
56361 - GANCHO REDE PARAF COLONIAL,"83024100 079164 ARMARINHO 1 PR -2,00","95,20"
54039 - GANCHO REDE PARAFUSAR,"83024100 33861 MARTINS 1 UN -7,00","19,21"
PRATIK/SILVA,,
45730 - GANCHO S-06 C/BUCHA,"73181300 04489 TAMBASA AT 1 UN 1.324,50","0,58"
45748 - GANCHO S-08 C/BUCHA,"73181300 2000.022.000 NOVA DISTR 1 UN 126,00","0,85"
52410 - GANCHO S-10 C/BUCHA,"73181300 2000.023.000 WORKER 1 UN 391,00","1,12"
18406 - GANCHO S-12 C/BUCHA,"73181300 2000.024.000 NOVA DISTR 1 UN 256,00","1,73"
34606 - GARFO RETO 10 DENTES S/CABO,"73182200 TRAMONTINA 1 UN 0,00","62,00"
53284 - GARRA JACARE MEDIA PR/VM,"85366990 1485 NOVA DISTR 1 UN -19,00","5,12"
54100 - GARRA JACARE PT 10A MEDIA,"85369090 405990 NEGRAO 1 UN 117,00","3,71"
53724 - GARRA JACARE PT/VM 100A GRANDE,"85369090 22677 ORMEL 1 UN 20,00","24,52"
52827 - GARRA JACARE VM 100A GRANDE,"85369090 405922 NEGRAO 1 UN -9,00","5,75"
53722 - GARRA JACARE VM 10A MEDIA,"85369090 406007 WORKER 1 UN 159,00","3,71"
53721 - GARRA JACARE VM 200A,"85369090 405957 WORKER 1 UN 0,00","15,01"
54018 - GARRA JACARE VRM/PRT 10A,"85369090 405973 NOVA DISTR 1 UN 186,00","2,84"
PEQUENA,,
53929 - GARRA PARCO PUA,"82051000 9506 IRWIN 1 UN 1,00","29,27"
51969 - GARRAFA TERMICA 12LT - AZ/VER,"39233090 059230 ORMEL 1 UN 3,00","227,44"
55430 - GARRAFA TERMICA 12LT - PT,"39233090 059804 ARMARINHO 1 UN 0,00","213,83"
"51110 - GARRAFA TERMICA 5,0L TERMOLAR CZ","39233090 059543 TAMBASA AT 1 UN 3,00","66,51"
"53827 - GARRAFA TERMICA 5,0L TERMOLAR VM","39233090 016205 TAMBASA AT 1 UN 3,00","66,51"
"52440 - GARRAFA TERMICA ALAD/TERM 5,0L AZ","39233090 016206 ORMEL 1 UN 4,00","62,08"
"7595 - GARRAFA TERMICA ALADDIN 5,0L VM","39233090 16205 TAMBASA AT 1 UN 0,00","41,04"
47694 - GARRAFA TERMICA INVICTA 5L AZ/VM/P,"39233090 059884 MARTINS 1 UN 5,00","49,53"
"55279 - GARRAFAO TERMICO 3,0L INVICTA AZ","39233090 059966 TAMBASA AT 1 UN 2,00","44,26"
"55278 - GARRAFAO TERMICO 3,0L INVICTA VM","39233090 059965 TAMBASA AT 1 UN 5,00","44,26"
55598 - GAS MACARICO ISQUEIRO 150GR,"36061000 086024 ARMARINHO 1 UN -9,00","26,35"
WESTER,,
56489 - GAS REFIL MACARICO 227G,"27111300 018119 ARMARINHO 1 UN 10,00","20,00"
49948 - GATILHO DUCHA HIGIENICA 2000 CR,"84818019 2000 CR ICO METAL 1 UN -1,00","47,22"
53402 - GATILHO MISTO C/ SUPORTE 2000 CS,"84818019 2000 CS ICO METAL 1 UN 1,00","73,02"
54214 - GATILHO POP BR,"84818019 240203-21 BLUKIT 1 UN -13,00","25,35"
34630 - GAVETA PLASTICA P/PRATELEIRA,"94037000 5500.005.000 NEGRAO 1 UN 81,00","8,56"
52192 - GAXETA GRAFIATA 3/8,"79070090 CARAJAS CO 1 MT 0,00","13,75"
54726 - GEL ANTISSEP.70 MP ZIP 430G,"38089429 205654 MARTINS 1 UN 10,00","10,91"
"51133 - GERADOR DIESEL 6,5KVA MONO","85021110 1133 MOTOMIL 1 UN 0,00","5.946,66"
110/220V,,
53193 - GERADOR GAS 8.125KVA P.ELETRICA,"85021110 MOTOMIL 1 UN 0,00","2.264,02"
BIV,,
52703 - GESSO RAPIDO 1 KG,"25202090 13843 NOVA DISTR 1 UN 305,00","11,21"
51736 - GIRA GRILL INOX 4 ESPETOS - ARKE,"85098090 441252 NEGRAO 1 UN 0,00","725,40"
51157 - GIRA GRILL P/CHURRASQUEIRA,"85098000 XINGUARA 1 UN 0,00","688,80"
52117 - GIRATORIO MAX GRILL 5 ESP. INOX,"85094090 SM136-8 METALRIO 1 UN 0,00","773,26"
51349 - GIRATORIO MAX GRILL 5 ESP. PRETO,"85094090 SM132-0 METALRIO 1 UN 0,00","582,06"
Usuário CLAUDIO FILHO,77 / 184 Eptus ERP Enterprise v.6.04.01.001,
"",,Pág: 78
"",LOURENCO E SILVA LTDA,
"",CNPJ : 07626439000173 IE : 152496416,
"",9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"","paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",CENTRO,
"",01/10/2025 07:40:32,
"",Lista de preços,
56534 - GIZ LINHA C/GIZ VERM 30MT - MTX,"90172000 26690 NOVA CASA 1 UN 7,00","45,94"
54585 - GOTEJADOR SV CP,"84818019 000000000001 MOLTH-INOX 1 UN 0,00","0,46"
36269 - GRAFITE EM PO 30GR,"25041000 CENTER MAT 1 UN -10,00","6,02"
25054 - GRAFITE PO 25G - WORKER,"25041000 031533 TAMBASA AT 1 UN 18,00","7,43"
55436 - GRAFITE SPRAY,"25041000 2100527 ARMARINHO 1 UN 15,00","21,45"
22543 - GRAMPEADOR 106 PREMIUM - ROCAMA,"84659400 13746 NEGRAO 1 UN 2,00","208,38"
36277 - GRAMPEADOR STOOL VERMELHO,"73170020 CENTER MAT 1 UN 0,00","32,67"
C/GRAMPO,,
55653 - GRAMPO BIEHL N 08 SARGENTO,"73170090 31732 NOVA CASA 1 UN 2,00","131,46"
54035 - GRAMPO BIEHL N03,"82057000 110119 NOVA DISTR 1 UN 4,00","22,89"
54036 - GRAMPO BIEHL N04,"82057000 2000.318.004 LOTUS 1 UN 2,00","39,78"
55657 - GRAMPO BIEHL N05,"82057000 2000.318.005 NEGRAO 1 UN 3,00","58,94"
54037 - GRAMPO BIEHL N06,"82057000 2000.318.006 LOTUS 1 UN 4,00","79,52"
55444 - GRAMPO BIEHL N6 METALCAVA,"82057000 14430 TAMBASA AT 1 UN 0,00","120,48"
53873 - GRAMPO FIXAR CABO COAXIAL 10MM,"39259090 29591 NEGRAO 1 UN 252,00","5,73"
10146 - GRAMPO MIGUELAO P/FIO,"39259090 23388 TAMBASA AT 1 UN 138,05","4,07"
19658 - GRAMPO P/CERCA 1X9¿ POLIDO,"73170020 2644 MARTINS 1 KG 5,00","27,44"
"36285 - GRAMPO P/FIXAR FIO 2,0/4,0MM","39269090 20361 TAMBASA AT 1 UN 1.951,00","3,23"
36293 - GRAMPO P/GRAMPEADOR 106/6,"83052000 086418 NEGRAO 1 UN 2,00","40,76"
ROCAMA,,
54194 - GRAMPO P/GRAMPEADOR 106/8,"83052000 23563 TAMBASA AT 1 UN 3,00","28,78"
ROCAMA,,
41262 - GRAMPO P/MADEIRAMENTO 1/2 10CM,"73170020 000101 AFG METALU 1 UN 6,00","7,29"
PRET,,
41254 - GRAMPO P/MADEIRAMENTO 1/2 15CM,"73089000 16695 NOVA DISTR 1 UN 10,00","12,25"
PRET,,
41246 - GRAMPO P/MADEIRAMENTO 1/2 25CM,"73089000 16693 NOVA DISTR 1 UN 9,00","14,97"
PRET,,
41238 - GRAMPO P/MADEIRAMENTO 1/2 35CM,"73170020 AFG METALU 1 UN 14,00","29,40"
PRET,,
17876 - GRAMPO P/MADEIRAMENTO 1/2 40CM,"73170020 094 AFG METALU 1 UN 18,00","17,24"
GALV,,
41270 - GRAMPO P/MADEIRAMENTO 1/2 40CM,"73170020 AFG METALU 1 UN -8,00","12,69"
PRET,,
44164 - GRAMPO P/TELHA GALVANIZADO,"73170020 SOCOL 1 UN 0,00","0,49"
51404 - GRAMPO RIPIX 1820 BRANCO,"73170090 NEGRAO 1 UN 0,00","3,41"
52802 - GRAMPO TERRA DUPLO PARAFUSO,"85359000 2217 INTELLI 1 UN 30,00","21,87"
3/8¿,,
18368 - GRAMPO ZINCADO 1/2X35CM,"73170020 NOVA METAL 1 UN 0,00","14,50"
33847 - GRAMPO ZINCADO 12X15,"73170020 ARAUJO MET 1 UN 7,00","2,83"
33855 - GRAMPO ZINCADO 12X25,"73170020 ARAUJO MET 1 UN 1,00","12,32"
53782 - GRAXA BRANCA 80G,"27101932 0893606 WURTH 1 UN -31,00","8,50"
52569 - GRAXA CA2 ALTA PERFORMANCE 1KG,"27101999 38482 WORKER 1 UN 1,00","32,39"
56514 - GRAXA LITIO SPRAY 250ML,"27101932 2100689 MARTINS 1 UN 6,00","19,55"
55129 - GRAXA MOTO 80GR,"27101999 087512 ARMARINHO 1 UN 42,00","7,76"
53727 - GRAXA SPRAY 300ML BR -,"27101991 2100204 MARTINS 1 UN -7,00","16,98"
ORBIQUIMICA,,
52583 - GRAXA USO GERAL 500G - INGRAX,"27101999 063955 MARTINS 1 UN 10,00","22,73"
52390 - GRELHA C/ARO 30X30CM FERRO,"73251000 5542 CONDOR 1 UN 2,00","50,58"
FUNDIDO,,
25330 - GRELHA FERRO 15X100CM,"73251000 13277 NOVA DISTR 1 UN 3,00","105,71"
32050 - GRELHA GIRAT.REDONDA CROMADA,"39174090 ASTRA S/A 1 UN 23,00","5,99"
10X10C,,
53314 - GRELHA INOX P/CHURRASQUEIRA,"39174090 3510 CONCRETEX 1 UN -6,00","148,17"
51029 - GRELHA P/FORNO REFOR.N3 E 4,"73182200 METALURGIC 1 UN 4,00","71,10"
50X35X,,
51028 - GRELHA P/GARAGEM 10X100,"73182200 METALURGIC 1 UN 1,00","57,99"
Usuário CLAUDIO FILHO,78 / 184 Eptus ERP Enterprise v.6.04.01.001,
"",,Pág: 79
"",LOURENCO E SILVA LTDA,
"",CNPJ : 07626439000173 IE : 152496416,
"",9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"","paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",CENTRO,
"",01/10/2025 07:40:32,
"",Lista de preços,
51464 - GRELHA PLUVIAL RETANG. 20X20CM,"39174090 PONTEIRAS 1 UN 0,00","31,81"
32042 - GRELHA QD. BRANCA 100 KRONA,"39174090 07122 TAMBASA AT 1 UN -15,00","4,08"
25810 - GRELHA QD. BRANCA 150 KRONA,"39174090 07066 TAMBASA AT 1 UN -4,00","7,78"
56436 - GRELHA QUAD 15X15CM BR,"39174090 GR5 ASTRA S/A 1 UN 18,00","19,58"
"17370 - GRELHA QUAD 9,4X9,4CM BR","39174090 GR13 ASTRA S/A 1 UN -11,00","7,54"
53700 - GRELHA QUAD.P/CX SIF/RALO 100MM,"73072900 291813-612 BLUKIT 1 UN 17,00","35,53"
53701 - GRELHA QUAD.P/CX SIF/RALO 150MM,"73072900 291814-612 BLUKIT 1 UN 9,00","50,52"
40355 - GRELHA QUADR. ROT INOX 10X10,"73259910 026864 ARMARINHO 1 UN 0,00","12,75"
OVER,,
55408 - GRELHA QUADR. ROT INOX 15X15,"73259910 026865 ARMARINHO 1 UN 7,00","24,73"
OVER,,
"49859 - GRELHA QUADRADA 10,2X10,2CM BR","39174090 4807749 ASTRA S/A 1 UN 22,00","4,88"
39373 - GRELHA QUADRADA BR ASTRA,"39174090 4807750 ASTRA S/A 1 UN -1,00","8,26"
15X15CM,,
"54492 - GRELHA REDONDA 9,7CM BR","39174090 GR11 ASTRA S/A 1 UN -5,00","4,53"
49840 - GRELHA REDONDA BRANCA ASTRA,"39174090 ASTRA S/A 1 UN -1,00","2,36"
10X10 G,,
46388 - GRELHA REDONDA CROMADA ASTRA,"39174090 ASTRA S/A 1 UN 9,00","3,53"
10X10,,
"51185 - GRELHA ROTATIVA QUAD 10,2X10,2CM","39174090 GRB4 ASTRA S/A 1 UN 7,00","11,85"
BR,,
51188 - GRELHA ROTATIVA QUAD 15X15CM CR,"39174090 GRB16 ASTRA S/A 1 UN 15,00","38,26"
51187 - GRELHA ROTATIVA QUADRADA,"39174090 GRB15 ASTRA S/A 1 UN -7,00","11,69"
BR.15X15CM,,
51186 - GRELHA ROTATIVA QUADRADA,"39174090 GRB11 ASTRA S/A 1 UN 8,00","8,57"
"BR.9,4X9,4",,
53149 - GRELHA ROTATIVA QUADRADA,"39174090 GRB12 ASTRA S/A 1 UN -6,00","13,82"
"CR.9,4X9,4",,
"54493 - GRELHA ROTATIVA REDON 9,7CM BR","39174090 GRB1 ASTRA S/A 1 UN -1,00","5,79"
50900 - GROSA MEIA CANA 10TRAMONTINA,"82031010 TRAMONTINA 1 UN 0,00","21,29"
30783 - GROSA MEIA CANA 10¿ NICHOLSON,"82031010 57169 NEGRAO 1 UN 1,00","113,17"
55357 - GROSA NICHOLSON 8,"82031010 10649 MARTINS 1 UN 20,00","101,10"
55493 - GUARDA TUDO EMP.GRD.AZ,"94039900 022093 ARMARINHO 1 UN 10,00","47,79"
28X57X42C10,,
52615 - GUARDA TUDO ENCAIXAVEL PEQ AZUL,"39231090 50260 TAMBASA AT 1 UN 16,00","13,79"
39250 - GUIA P/SERRA COPO 3/8¿,"82075011 1934320 IRWIN 1 UN 1,00","49,54"
53175 - GUINCHO COLUNA ELET.500/1000KL,"94032000 BR14 HB GABINET 1 UN 0,00","1.852,93"
220V,,
54467 - HALLS MENTA 21X28G,"17049020 4301109 MARTINS 1 UN 21,00","0,99"
"10960 - HASTE ATERRAMENTO 1/2 1,20M","73262000 094695 INTELLI 1 UN 25,00","25,29"
"10910 - HASTE ATERRAMENTO 1/2 2,40M","73269090 2854 INTELLI 1 UN 167,00","65,95"
"28819 - HASTE ATERRAMENTO 3/4 2,40MTS","81110020 INTELLI 1 UN 0,00","32,83"
"35505 - HASTE ATERRAMENTO 5/8 2,40M","73269090 2859 INTELLI 1 UN 25,00","79,55"
50743 - HASTE ATERRAMENTO 5/8X3M,"39174000 INTELLI 1 MT 0,00","105,08"
50682 - HASTE CERCA ELETRICA ALUMIN.C/4,"76042920 DISTECOM 1 UN 55,00","5,89"
ISO,,
50683 - HASTE CERCA ELETRICA C/6 ISOLADOR,"76042920 DISTECOM 1 UN 65,00","6,89"
32212 - HASTE CHUVEIRO ALUMINIO 40CM,"76042920 23036 NEGRAO 1 UN 7,00","14,35"
51008 - HASTE CHUVEIRO ELETR CROMADO,"39172900 7520016 LORENZETTI 1 UN 2,00","38,80"
3158 - HASTE CHUVEIRO ELETRONICO BR,"39172900 7520004 LORENZETTI 1 UN -12,00","32,25"
35491 - HASTE P/CHUVEIRO 30CM - HERC,"39172200 106674 HERC 1 UN -1,00","3,69"
38520 - HASTE ZINCADA AQUAPLUV 125MM,"81110020 CENTER MAT 1 UN 7,00","4,81"
44679 - HERBICIDA GLIZ MATA TUDO 20LTS,"38083023 AGROQUIMA 1 BD 0,00","327,21"
